Fecha,Avg_temp
02/02/22,47.6
03/02/22,44.7
04/02/22,47.4
05/02/22,40.6
06/02/22,49.8
07/02/22,50.3
08/02/22,46
09/02/22,43.1
10/02/22,47.3
11/02/22,40.5
12/02/22,39.7
13/02/22,43.4
14/02/22,47.8
15/02/22,46.9
16/02/22,54
17/02/22,54.3
18/02/22,51.1
19/02/22,44.5
20/02/22,52.6
21/02/22,50.1
22/02/22,49.3
23/02/22,49.9
24/02/22,47.7
25/02/22,42.3
26/02/22,44.2
27/02/22,46
28/02/22,48.6
01/03/22,52.6
02/03/22,52
03/03/22,49.9
04/03/22,47.6
05/03/22,44.1
06/03/22,45.7
07/03/22,40.3
08/03/22,46.3
09/03/22,50.4
10/03/22,50.9
11/03/22,50.8
12/03/22,49.9
13/03/22,49
14/03/22,50.4
15/03/22,54.8
16/03/22,53.9
17/03/22,46.8
18/03/22,48.4
19/03/22,52.4
20/03/22,54.1
21/03/22,55.2
22/03/22,53.6
23/03/22,51.8
24/03/22,52.9
25/03/22,56.2
26/03/22,57.8
27/03/22,54.5
28/03/22,58.1
29/03/22,53.6
30/03/22,51.6
31/03/22,41.9
01/04/22,39.1
02/04/22,41
03/04/22,40
04/04/22,41.5
05/04/22,51.6
06/04/22,49.9
07/04/22,54.4
08/04/22,52.2
09/04/22,45.9
10/04/22,48.3
11/04/22,58.1
12/04/22,57.1
13/04/22,56
14/04/22,60.1
15/04/22,62.3
16/04/22,61.6
17/04/22,59.6
18/04/22,54.8
19/04/22,52.3
20/04/22,55.7
21/04/22,60.6
22/04/22,59.4
23/04/22,58.4
24/04/22,56.6
25/04/22,57.8
26/04/22,55.7
27/04/22,57.4
28/04/22,60.3
29/04/22,60.7
30/04/22,55.6
01/05/22,59.3
02/05/22,59.1
03/05/22,58
04/05/22,56.7
05/05/22,57.3
06/05/22,59.6
07/05/22,59.6
08/05/22,62.8
09/05/22,67.6
10/05/22,66.2
11/05/22,60
12/05/22,59.5
13/05/22,62
14/05/22,68
15/05/22,71.7
16/05/22,66.1
17/05/22,69.7
18/05/22,68.8
19/05/22,66.9
20/05/22,65.5
21/05/22,65.3
22/05/22,71.6
23/05/22,62.5
24/05/22,56.7
25/05/22,56.7
26/05/22,60
27/05/22,59
28/05/22,62.5
29/05/22,59.5
30/05/22,57.9
31/05/22,59.9
01/06/22,63.2
02/06/22,70.5
03/06/22,70.8
04/06/22,65.5
05/06/22,63.5
06/06/22,59.6
07/06/22,62.4
08/06/22,63.6
09/06/22,63
10/06/22,64.6
11/06/22,65.4
12/06/22,66.8
13/06/22,65.5
14/06/22,71.5
15/06/22,76.3
16/06/22,76.1
17/06/22,84.3
18/06/22,87.2
19/06/22,69.8
20/06/22,70.4
21/06/22,69.9
22/06/22,66.5
23/06/22,65.8
24/06/22,62.6
25/06/22,59.9
26/06/22,60.7
27/06/22,61.3
28/06/22,61.1
29/06/22,60.8
30/06/22,59.6
01/07/22,60
02/07/22,63.9
03/07/22,64.6
04/07/22,66.9
05/07/22,66
06/07/22,69.4
07/07/22,68.9
08/07/22,72.7
09/07/22,75.8
10/07/22,76.7
11/07/22,79.4
12/07/22,83.4
13/07/22,83.2
14/07/22,77.9
15/07/22,73.8
16/07/22,78
17/07/22,81.8
18/07/22,90.5
19/07/22,78.3
20/07/22,69
