Quantity,Year,Month,Day,Avg_temp,Menu_Code
1,2022,202207,12,83.4,133
6,2022,202208,29,74.0,27
1,2021,202105,1,50.6,130
29,2022,202201,28,44.6,83
3,2021,202112,22,32.3,82
5,2021,202111,29,37.8,124
1,2021,202104,8,44.8,86
2,2021,202106,5,60.3,123
2,2022,202203,19,52.4,6
2,2021,202109,3,72.3,50
1,2021,202109,16,64.8,106
1,2021,202106,4,60.4,125
1,2021,202112,31,51.4,51
1,2021,202112,28,54.3,63
5,2021,202103,16,53.2,10
4,2021,202107,4,63.9,123
1,2022,202201,15,31.9,116
2,2021,202104,28,51.9,76
1,2021,202108,20,68.3,71
1,2021,202103,11,52.9,40
9,2021,202108,24,66.5,120
2,2022,202207,27,67.9,118
4,2022,202208,4,74.6,24
4,2022,202209,12,76.3,9
61,2021,202102,26,48.1,83
2,2022,202206,18,87.2,106
43,2021,202103,28,48.1,83
2,2021,202108,22,65.4,51
66,2022,202205,22,71.6,83
1,2022,202208,20,68.2,115
6,2021,202106,7,66.7,86
4,2022,202207,25,68.6,86
5,2021,202103,13,49.4,27
3,2022,202201,21,37.5,85
2,2022,202203,9,50.4,120
1,2021,202103,23,46.0,12
1,2022,202203,17,46.8,123
1,2022,202203,20,54.1,81
16,2022,202205,27,59.0,146
7,2022,202202,5,40.6,139
2,2022,202202,17,54.3,19
5,2022,202207,29,72.9,10
4,2022,202203,19,52.4,84
50,2021,202102,14,38.6,2
4,2021,202105,14,52.1,49
1,2021,202112,3,44.3,21
2,2022,202208,13,80.8,120
43,2022,202204,21,60.6,83
465,2022,202208,12,83.8,138
5,2022,202201,9,46.9,23
52,2022,202208,9,78.9,2
2,2021,202107,27,65.2,121
4,2021,202101,22,43.9,59
1,2022,202208,3,80.2,50
28,2021,202102,19,49.6,83
3,2021,202109,6,76.1,44
13,2021,202106,23,59.2,23
10,2021,202102,25,49.9,21
10,2021,202110,24,50.6,146
3,2022,202206,10,64.6,7
8,2022,202206,2,70.5,19
6,2022,202207,6,69.4,77
5,2021,202111,23,41.8,124
1,2021,202107,29,64.3,126
5,2022,202207,16,78.0,82
7,2022,202207,27,67.9,146
6,2022,202203,6,45.7,94
9,2021,202112,24,50.1,28
10,2021,202103,7,40.1,77
12,2021,202111,7,51.8,23
6,2021,202103,23,46.0,108
3,2021,202108,9,64.8,56
6,2021,202112,11,46.0,139
5,2022,202203,27,54.5,127
3,2022,202201,24,36.5,127
6,2022,202204,3,40.0,56
6,2021,202104,22,59.6,31
3,2022,202208,8,76.6,39
3,2022,202202,18,51.1,49
8,2022,202206,29,60.8,44
2,2021,202104,22,59.6,19
70,2022,202202,27,46.0,29
14,2022,202206,6,59.6,136
3,2021,202109,1,67.2,47
7,2021,202109,14,70.5,23
2,2022,202203,14,50.4,6
5,2021,202101,25,38.0,31
6,2021,202106,25,60.8,24
11,2022,202204,28,60.3,121
2,2021,202108,10,64.3,24
2,2022,202205,15,71.7,38
10,2022,202208,5,70.0,10
140,2021,202104,28,51.9,138
1,2021,202107,20,78.7,90
13,2022,202202,21,50.1,55
6,2022,202206,14,71.5,77
7,2022,202207,12,83.4,85
1,2021,202106,10,67.1,76
6,2022,202209,28,59.5,85
1,2022,202203,16,53.9,82
12,2021,202108,27,63.8,28
15,2022,202207,10,76.7,9
1,2022,202207,13,83.2,100
28,2022,202209,8,64.1,5
7,2022,202203,29,53.6,124
4,2021,202103,27,46.4,82
7,2021,202110,24,50.6,24
23,2021,202109,20,60.4,83
2,2021,202111,10,43.1,51
12,2022,202206,5,63.5,28
4,2021,202112,23,44.2,49
5,2021,202109,16,64.8,21
2,2022,202205,25,56.7,36
1,2022,202203,13,49.0,131
4,2021,202108,10,64.3,34
3,2022,202203,1,52.6,82
1,2021,202102,5,48.4,76
4,2021,202112,5,43.4,28
2,2022,202204,21,60.6,66
6,2021,202109,20,60.4,85
1,2022,202202,21,50.1,132
7,2021,202108,18,62.1,76
1,2022,202206,26,60.7,129
7,2021,202109,18,64.6,47
101,2022,202202,7,50.3,138
9,2022,202208,20,68.2,47
5,2022,202209,5,70.1,27
10,2021,202108,8,61.9,67
1,2021,202102,14,38.6,67
1,2022,202207,24,72.2,19
4,2022,202205,11,60.0,84
9,2021,202102,6,45.9,23
5,2022,202205,10,66.2,40
3,2022,202207,22,66.8,7
30,2022,202206,22,66.5,83
1,2022,202205,2,59.1,125
6,2021,202104,17,48.9,77
7,2021,202105,10,56.5,47
2,2022,202202,27,46.0,142
50,2022,202205,15,71.7,2
1,2022,202201,28,44.6,118
1,2021,202104,29,50.5,35
1,2021,202101,8,30.3,12
6,2021,202106,12,71.8,146
61,2021,202102,28,44.9,5
4,2021,202107,2,63.7,142
5,2022,202208,18,66.9,108
36,2022,202207,6,69.4,2
3,2022,202204,1,39.1,10
2,2022,202207,29,72.9,39
2,2022,202204,25,57.8,47
3,2021,202112,4,49.9,73
13,2021,202108,9,64.8,55
1,2021,202104,12,42.7,35
8,2022,202207,20,69.0,86
4,2022,202207,29,72.9,86
4,2022,202204,13,56.0,9
27,2021,202110,8,58.4,83
33,2021,202109,8,72.3,30
6,2021,202112,30,56.4,6
11,2021,202101,17,43.4,23
1,2021,202104,18,47.4,24
2,2021,202104,1,64.7,9
2,2021,202112,23,44.2,87
1,2022,202208,17,63.1,112
7,2021,202105,13,53.9,94
395,2021,202107,31,62.3,138
1,2022,202205,23,62.5,9
39,2022,202202,21,50.1,29
4,2021,202106,29,60.6,42
10,2022,202206,12,66.8,21
22,2021,202110,8,58.4,30
252,2021,202104,5,45.9,138
5,2022,202202,18,51.1,21
13,2022,202203,5,44.1,146
11,2022,202208,20,68.2,108
15,2022,202207,17,81.8,84
72,2022,202205,29,59.5,2
6,2021,202108,2,63.9,12
6,2022,202209,22,61.0,23
5,2021,202110,2,58.9,31
4,2022,202207,21,70.3,121
5,2021,202112,2,40.8,86
2,2021,202108,4,63.3,106
15,2021,202109,18,64.6,133
2,2021,202102,20,57.0,67
3,2021,202105,21,56.3,27
14,2022,202207,25,68.6,124
41,2022,202201,23,38.3,5
1,2022,202207,8,72.7,38
5,2022,202206,5,63.5,67
1,2021,202103,19,48.3,35
7,2022,202205,5,57.3,6
148,2022,202209,29,52.4,138
14,2022,202203,11,50.8,29
3,2022,202204,27,57.4,118
6,2022,202204,29,60.7,21
4,2022,202209,29,52.4,84
4,2021,202101,8,30.3,63
4,2021,202108,8,61.9,132
19,2022,202205,25,56.7,30
1,2021,202105,5,49.3,12
5,2022,202201,31,47.1,28
13,2022,202208,9,78.9,121
3,2021,202101,5,37.6,86
4,2022,202204,30,55.6,66
1,2022,202209,18,58.2,11
3,2022,202206,19,69.8,82
21,2021,202101,18,39.2,5
2,2021,202109,5,70.3,132
1,2022,202205,9,67.6,67
17,2021,202108,12,69.4,133
4,2022,202206,7,62.4,24
3,2021,202112,21,37.0,12
7,2021,202109,5,70.3,6
1,2021,202112,31,51.4,70
4,2021,202103,22,44.2,47
5,2021,202105,30,68.0,76
2,2021,202109,18,64.6,86
7,2022,202209,15,68.8,31
7,2021,202101,21,48.6,133
20,2021,202102,8,36.5,29
5,2021,202107,14,65.0,111
1,2021,202101,14,48.9,47
1,2022,202204,7,54.4,85
3,2021,202112,20,38.6,21
10,2022,202207,26,67.1,27
36,2021,202112,24,50.1,30
7,2022,202206,25,59.9,108
6,2021,202106,6,63.7,127
1,2022,202203,18,48.4,11
6,2022,202209,7,65.5,9
6,2021,202103,19,48.3,84
9,2022,202208,21,63.4,85
5,2021,202105,5,49.3,31
12,2021,202111,29,37.8,55
2,2021,202101,9,32.3,64
5,2022,202205,28,62.5,24
3,2022,202209,29,52.4,10
4,2021,202101,11,32.1,31
8,2021,202107,5,63.3,77
6,2021,202102,27,46.1,12
3,2022,202202,13,43.4,51
35,2022,202208,25,72.5,2
5,2021,202106,1,71.7,84
13,2022,202201,22,36.1,5
38,2021,202104,26,57.8,83
3,2021,202102,26,48.1,86
5,2021,202111,26,42.7,124
1,2022,202201,11,46.0,94
1,2022,202209,10,62.5,51
2,2021,202101,10,35.6,86
31,2021,202103,2,51.9,2
6,2021,202105,1,50.6,47
55,2021,202108,25,68.2,29
3,2021,202110,22,49.8,47
6,2021,202104,15,45.9,85
1,2021,202107,16,67.8,116
4,2022,202206,6,59.6,55
4,2022,202206,24,62.6,31
6,2021,202110,7,57.1,77
3,2021,202110,12,52.7,35
23,2022,202203,28,58.1,2
4,2022,202204,25,57.8,82
1,2022,202205,1,59.3,125
6,2021,202110,10,53.8,6
1,2021,202101,7,32.1,25
9,2022,202205,29,59.5,122
1,2021,202102,20,57.0,11
7,2022,202204,1,39.1,100
11,2022,202207,24,72.2,47
76,2021,202112,10,47.6,138
2,2021,202110,18,59.3,127
14,2022,202208,18,66.9,73
1,2021,202103,26,49.4,70
21,2021,202106,1,71.7,29
5,2021,202101,18,39.2,121
2,2022,202205,10,66.2,9
1,2021,202109,1,67.2,31
1,2021,202105,27,59.9,136
7,2021,202111,2,47.1,44
4,2021,202111,20,42.4,31
1,2021,202102,27,46.1,3
3,2022,202201,3,54.4,9
5,2022,202206,7,62.4,86
1,2022,202204,14,60.1,123
17,2021,202111,23,41.8,5
19,2022,202207,22,66.8,23
3,2021,202104,11,44.4,82
60,2022,202207,25,68.6,5
6,2021,202110,27,53.5,82
298,2021,202104,3,48.0,138
14,2021,202108,18,62.1,124
3,2022,202206,2,70.5,77
2,2022,202209,24,58.3,7
2,2021,202102,6,45.9,6
23,2021,202101,19,45.6,30
19,2021,202104,14,47.1,23
7,2021,202104,19,51.0,121
10,2022,202208,8,76.6,84
33,2021,202102,4,49.7,29
2,2022,202208,14,67.7,125
5,2021,202104,3,48.0,47
1,2022,202204,27,57.4,39
7,2021,202109,6,76.1,84
4,2021,202102,28,44.9,108
2,2022,202203,3,49.9,100
4,2022,202207,29,72.9,84
4,2022,202204,7,54.4,82
1,2022,202201,17,41.2,77
9,2021,202104,5,45.9,4
2,2022,202209,24,58.3,12
26,2021,202104,21,57.5,5
2,2022,202204,15,62.3,42
3,2022,202205,9,67.6,42
