Quantity,Year,Month,Day,Avg_temp,Menu_Code
47,2022,202204,21,60.6,2
48,2022,202204,21,60.6,5
6,2022,202204,21,60.6,6
5,2022,202204,21,60.6,7
6,2022,202204,21,60.6,9
10,2022,202204,21,60.6,10
1,2022,202204,21,60.6,11
3,2022,202204,21,60.6,12
3,2022,202204,21,60.6,19
10,2022,202204,21,60.6,21
20,2022,202204,21,60.6,23
3,2022,202204,21,60.6,24
8,2022,202204,21,60.6,27
9,2022,202204,21,60.6,28
43,2022,202204,21,60.6,29
35,2022,202204,21,60.6,30
3,2022,202204,21,60.6,31
2,2022,202204,21,60.6,35
3,2022,202204,21,60.6,39
3,2022,202204,21,60.6,42
15,2022,202204,21,60.6,44
5,2022,202204,21,60.6,47
6,2022,202204,21,60.6,49
3,2022,202204,21,60.6,50
3,2022,202204,21,60.6,51
12,2022,202204,21,60.6,55
1,2022,202204,21,60.6,56
2,2022,202204,21,60.6,66
3,2022,202204,21,60.6,67
4,2022,202204,21,60.6,71
4,2022,202204,21,60.6,73
2,2022,202204,21,60.6,75
8,2022,202204,21,60.6,77
1,2022,202204,21,60.6,81
6,2022,202204,21,60.6,82
43,2022,202204,21,60.6,83
4,2022,202204,21,60.6,84
6,2022,202204,21,60.6,85
3,2022,202204,21,60.6,86
2,2022,202204,21,60.6,94
2,2022,202204,21,60.6,100
1,2022,202204,21,60.6,106
3,2022,202204,21,60.6,108
2,2022,202204,21,60.6,118
4,2022,202204,21,60.6,120
5,2022,202204,21,60.6,121
3,2022,202204,21,60.6,123
10,2022,202204,21,60.6,124
2,2022,202204,21,60.6,125
4,2022,202204,21,60.6,127
2,2022,202204,21,60.6,129
5,2022,202204,21,60.6,133
237,2022,202204,21,60.6,138
2,2022,202204,21,60.6,139
28,2022,202204,22,59.4,2
42,2022,202204,22,59.4,5
6,2022,202204,22,59.4,6
1,2022,202204,22,59.4,7
2,2022,202204,22,59.4,9
8,2022,202204,22,59.4,10
1,2022,202204,22,59.4,12
1,2022,202204,22,59.4,15
5,2022,202204,22,59.4,21
18,2022,202204,22,59.4,23
1,2022,202204,22,59.4,24
1,2022,202204,22,59.4,26
7,2022,202204,22,59.4,27
16,2022,202204,22,59.4,28
34,2022,202204,22,59.4,29
24,2022,202204,22,59.4,30
2,2022,202204,22,59.4,31
2,2022,202204,22,59.4,35
1,2022,202204,22,59.4,36
2,2022,202204,22,59.4,38
2,2022,202204,22,59.4,39
13,2022,202204,22,59.4,44
6,2022,202204,22,59.4,47
4,2022,202204,22,59.4,49
4,2022,202204,22,59.4,50
8,2022,202204,22,59.4,55
6,2022,202204,22,59.4,66
4,2022,202204,22,59.4,67
2,2022,202204,22,59.4,71
1,2022,202204,22,59.4,73
1,2022,202204,22,59.4,76
5,2022,202204,22,59.4,77
4,2022,202204,22,59.4,82
44,2022,202204,22,59.4,83
5,2022,202204,22,59.4,84
1,2022,202204,22,59.4,85
2,2022,202204,22,59.4,86
2,2022,202204,22,59.4,94
4,2022,202204,22,59.4,106
1,2022,202204,22,59.4,108
4,2022,202204,22,59.4,120
11,2022,202204,22,59.4,121
2,2022,202204,22,59.4,123
9,2022,202204,22,59.4,124
2,2022,202204,22,59.4,125
1,2022,202204,22,59.4,129
1,2022,202204,22,59.4,130
12,2022,202204,22,59.4,133
163,2022,202204,22,59.4,138
3,2022,202204,22,59.4,139
4,2022,202204,22,59.4,142
10,2022,202204,22,59.4,146
33,2022,202204,23,58.4,2
36,2022,202204,23,58.4,5
6,2022,202204,23,58.4,6
2,2022,202204,23,58.4,9
8,2022,202204,23,58.4,10
3,2022,202204,23,58.4,12
6,2022,202204,23,58.4,19
5,2022,202204,23,58.4,21
11,2022,202204,23,58.4,23
1,2022,202204,23,58.4,25
1,2022,202204,23,58.4,26
5,2022,202204,23,58.4,27
11,2022,202204,23,58.4,28
27,2022,202204,23,58.4,29
47,2022,202204,23,58.4,30
8,2022,202204,23,58.4,31
2,2022,202204,23,58.4,35
2,2022,202204,23,58.4,42
8,2022,202204,23,58.4,44
5,2022,202204,23,58.4,47
1,2022,202204,23,58.4,48
6,2022,202204,23,58.4,49
2,2022,202204,23,58.4,50
7,2022,202204,23,58.4,55
4,2022,202204,23,58.4,56
1,2022,202204,23,58.4,70
7,2022,202204,23,58.4,73
3,2022,202204,23,58.4,75
3,2022,202204,23,58.4,76
2,2022,202204,23,58.4,77
4,2022,202204,23,58.4,81
4,2022,202204,23,58.4,82
38,2022,202204,23,58.4,83
8,2022,202204,23,58.4,84
3,2022,202204,23,58.4,85
5,2022,202204,23,58.4,86
4,2022,202204,23,58.4,92
2,2022,202204,23,58.4,94
1,2022,202204,23,58.4,106
2,2022,202204,23,58.4,118
3,2022,202204,23,58.4,120
1,2022,202204,23,58.4,121
1,2022,202204,23,58.4,123
8,2022,202204,23,58.4,124
1,2022,202204,23,58.4,125
1,2022,202204,23,58.4,128
1,2022,202204,23,58.4,129
4,2022,202204,23,58.4,133
3,2022,202204,23,58.4,136
136,2022,202204,23,58.4,138
1,2022,202204,23,58.4,139
4,2022,202204,23,58.4,142
13,2022,202204,23,58.4,146
41,2022,202204,24,56.6,2
10,2022,202204,24,56.6,4
43,2022,202204,24,56.6,5
4,2022,202204,24,56.6,6
1,2022,202204,24,56.6,7
6,2022,202204,24,56.6,9
10,2022,202204,24,56.6,10
1,2022,202204,24,56.6,11
3,2022,202204,24,56.6,12
10,2022,202204,24,56.6,21
20,2022,202204,24,56.6,23
1,2022,202204,24,56.6,25
2,2022,202204,24,56.6,26
9,2022,202204,24,56.6,27
5,2022,202204,24,56.6,28
42,2022,202204,24,56.6,29
85,2022,202204,24,56.6,30
5,2022,202204,24,56.6,31
3,2022,202204,24,56.6,35
1,2022,202204,24,56.6,39
13,2022,202204,24,56.6,44
6,2022,202204,24,56.6,47
3,2022,202204,24,56.6,49
5,2022,202204,24,56.6,56
6,2022,202204,24,56.6,57
2,2022,202204,24,56.6,67
3,2022,202204,24,56.6,70
1,2022,202204,24,56.6,71
1,2022,202204,24,56.6,73
1,2022,202204,24,56.6,75
3,2022,202204,24,56.6,77
3,2022,202204,24,56.6,80
3,2022,202204,24,56.6,82
67,2022,202204,24,56.6,83
6,2022,202204,24,56.6,84
4,2022,202204,24,56.6,85
3,2022,202204,24,56.6,86
4,2022,202204,24,56.6,92
5,2022,202204,24,56.6,94
3,2022,202204,24,56.6,106
2,2022,202204,24,56.6,108
7,2022,202204,24,56.6,112
2,2022,202204,24,56.6,113
1,2022,202204,24,56.6,120
2,2022,202204,24,56.6,123
10,2022,202204,24,56.6,124
1,2022,202204,24,56.6,125
2,2022,202204,24,56.6,127
2,2022,202204,24,56.6,128
1,2022,202204,24,56.6,129
1,2022,202204,24,56.6,130
4,2022,202204,24,56.6,131
12,2022,202204,24,56.6,133
8,2022,202204,24,56.6,136
